Date,Open,High,Low,Close,Adj Close,Volume
2003-03-10,7.750000,9.332500,7.750000,9.000000,7.577624,48222600
2003-03-17,9.000000,9.590000,8.382500,9.277500,7.811268,18882840
2003-03-24,9.750000,12.042500,9.575000,11.722500,9.869854,154844620
2003-03-31,11.400000,12.185000,10.850000,11.682500,9.836176,85549740
2003-04-07,11.750000,13.192500,11.717500,12.405000,10.444490,53140320
2003-04-14,12.405000,13.750000,12.175000,12.302500,10.358191,13157480
2003-04-21,12.500000,13.192500,12.010000,12.755000,10.739176,26799120
2003-04-28,12.800000,15.070000,12.575000,14.480000,12.191554,57015960
2003-05-05,14.637500,14.790000,13.655000,14.087500,11.861088,38890820
2003-05-12,14.250000,16.735001,12.600000,16.082500,13.540792,63655540
2003-05-19,16.007500,18.450001,15.355000,18.067499,15.212080,87449380
2003-05-26,18.250000,19.299999,17.549999,18.709999,15.753035,50394220
2003-06-02,18.870001,20.200001,18.632500,19.612499,16.512903,32366300
2003-06-09,19.682501,20.639999,19.062500,19.344999,16.287680,20727860
2003-06-16,19.250000,22.100000,19.250000,21.805000,18.358896,42942080
2003-06-23,21.982500,24.975000,21.500000,24.820000,20.897402,29459720
2003-06-30,24.882500,30.385000,24.882500,28.437500,23.943186,77286620
2003-07-07,28.889999,28.889999,25.155001,26.395000,22.223482,43416800
2003-07-14,26.600000,27.684999,25.504999,25.967499,21.863548,22570320
2003-07-21,26.232500,26.684999,24.950001,26.282501,22.128767,20657180
2003-07-28,26.500000,30.075001,26.450001,27.860001,23.456953,40612800
2003-08-04,28.132502,29.100000,26.912500,28.125000,23.680073,15346060
2003-08-11,27.950001,28.940001,27.162500,28.222500,23.762161,10305480
2003-08-18,28.500000,30.799999,27.900000,30.010000,25.539587,11322840
2003-08-25,30.500000,35.500000,29.000000,35.020000,29.803274,16341680
2003-09-01,35.432503,45.312500,34.250000,44.660000,38.007263,40697460
2003-09-08,45.299999,48.500000,42.755001,43.494999,37.015800,46492000
2003-09-15,43.599998,44.445000,38.919998,40.305000,34.300999,30170780
2003-09-22,40.945000,46.950001,37.750000,44.272499,37.677494,30244660
2003-09-29,45.000000,46.500000,42.845001,44.465000,37.841309,16097340
2003-10-06,45.200001,46.224998,43.200001,43.487499,37.009415,9511580
2003-10-13,43.994999,46.235001,43.549999,45.035000,38.326393,9667640
2003-10-20,44.500000,45.500000,36.750000,40.235001,34.241432,16416700
2003-10-27,40.349998,41.845001,37.849998,40.172501,34.188236,11639220
2003-11-03,40.724998,45.365002,40.724998,43.494999,37.015800,13011260
