Date,Open,High,Low,Close,Adj Close,Volume
2001-07-16,1.450000,1.483000,1.425000,1.466000,1.270732,17858000
2001-07-23,1.500000,1.565000,1.465000,1.465000,1.269865,13101000
2001-07-30,1.475000,1.525000,1.440000,1.500000,1.300202,5531000
2001-08-06,1.500000,1.699000,1.483000,1.592000,1.379948,4905000
2001-08-13,1.590000,1.605000,1.490000,1.570000,1.360879,2733000
2001-08-20,1.585000,1.680000,1.550000,1.650000,1.430223,2836000
2001-08-27,1.650000,1.650000,1.550000,1.550000,1.343543,4524000
2001-09-03,1.540000,1.729000,1.535000,1.719000,1.490032,3584000
2001-09-10,1.713000,1.713000,1.672000,1.676000,1.452760,1003000
2001-09-17,1.525000,1.525000,1.240000,1.249000,1.082635,5126000
2001-09-24,1.300000,1.426000,1.250000,1.380000,1.196186,4781000
2001-10-01,1.400000,1.415000,1.363000,1.400000,1.213522,3155000
2001-10-08,1.385000,1.702000,1.365000,1.585000,1.373881,2353000
2001-10-15,1.595000,1.662000,1.560000,1.560000,1.352211,1616000
2001-10-22,1.550000,1.555000,1.450000,1.538000,1.333141,1951000
2001-10-29,1.558000,1.587000,1.475000,1.475000,1.278533,2215000
2001-11-05,1.475000,1.475000,1.395000,1.410000,1.222190,3193000
2001-11-12,1.410000,1.440000,1.375000,1.425000,1.235193,5389000
2001-11-19,1.430000,1.455000,1.393000,1.426000,1.236059,4259000
2001-11-26,1.420000,1.455000,1.417000,1.419000,1.229991,4336000
2001-12-03,1.419000,1.499000,1.419000,1.495000,1.295869,1441000
2001-12-10,1.495000,1.540000,1.482000,1.500000,1.300202,4248000
2001-12-17,1.500000,1.556000,1.480000,1.480000,1.282867,1142000
2001-12-24,1.475000,1.475000,1.440000,1.450000,1.256862,623000
2001-12-31,1.461000,1.470000,1.390000,1.390000,1.204854,1434000
2002-01-07,1.380000,1.535000,1.346000,1.527000,1.323606,2147000
2002-01-14,1.525000,1.605000,1.500000,1.550000,1.343543,1273000
2002-01-21,1.550000,1.570000,1.503000,1.505000,1.304536,1030000
2002-01-28,1.505000,1.510000,1.490000,1.510000,1.308871,3092000
2002-02-04,1.510000,1.525000,1.497000,1.514000,1.312338,3607000
2002-02-11,1.534000,1.551000,1.510000,1.550000,1.343543,1600000
2002-02-18,1.540000,1.699000,1.540000,1.699000,1.472696,2046000
2002-02-25,1.680000,1.695000,1.570000,1.600000,1.386883,1097000
2002-03-04,1.600000,1.665000,1.560000,1.650000,1.430223,1423000
2002-03-11,1.605000,1.605000,1.567000,1.567000,1.358278,1154000
2002-03-18,1.555000,1.599000,1.550000,1.574000,1.364346,1485000
2002-03-25,1.570000,1.570000,1.525000,1.535000,1.330541,1335000
2002-04-01,1.530000,1.556000,1.518000,1.525000,1.321873,1114000
2002-04-08,1.500000,1.550000,1.500000,1.530000,1.326207,1460000
2002-04-15,1.540000,1.590000,1.425000,1.529000,1.325340,2491000
2002-04-22,1.532000,1.550000,1.502000,1.510000,1.308871,1254000
